Crakehill,Skip Bridge,Westwick,Arkengarthdale,East Cowton,Malham Tarn,Snaizeholme,Skelton
0.125034413,0.112831579,0.118156068,0.1,0.1,0.1,0.1,0.127319163
0.107268055,0.112478231,0.104473982,0.1,0.1,0.1,0.1,0.111279776
0.168422502,0.232485298,0.143565964,0.114209591,0.103864734,0.191428571,0.119047619,0.289747213
0.133183445,0.135052119,0.120892915,0.1,0.1,0.11015873,0.1,0.145752758
0.116261356,0.113013301,0.110880741,0.13410302,0.146376812,0.163492063,0.147619048,0.169604821
0.18714325,0.273766437,0.199240272,0.156838366,0.107729469,0.15968254,0.164285714,0.272933759
0.15153712,0.162492113,0.128968012,0.128419183,0.165700483,0.122857143,0.133333333,0.158281841
0.115894283,0.112882057,0.105310301,0.1,0.107729469,0.1,0.1,0.114628065
0.133917592,0.144269453,0.12423174,0.185257549,0.304830918,0.226984127,0.15952381,0.351492554
0.242204276,0.313210166,0.21126907,0.11705151,0.1,0.22952381,0.145238095,0.275165952
0.122354777,0.117415007,0.111575165,0.111367673,0.1,0.107619048,0.102380952,0.12289078
0.113948793,0.117404912,0.108597527,0.105683837,0.1,0.125396825,0.10952381,0.118534403
0.104882078,0.105057924,0.103618314,0.1,0.1,0.1,0.1,0.106147532
0.177232266,0.163269478,0.158860489,0.1,0.1,0.193968254,0.114285714,0.182457933
0.140524915,0.110893213,0.1625519,0.136944938,0.123188406,0.181269841,0.15,0.159091911
0.132082224,0.130286969,0.12317398,0.1,0.1,0.1,0.1,0.13734603
0.18604203,0.174616996,0.150892888,0.156838366,0.138647343,0.11015873,0.111904762,0.206219988
0.118757456,0.119565382,0.109496193,0.1,0.1,0.1,0.1,0.131945563
0.390501973,0.330463643,0.234058214,0.102841918,0.103864734,0.105079365,0.104761905,0.278766263
0.322960448,0.404989778,0.238003316,0.1,0.1,0.1,0.1,0.347712227
0.109066716,0.108278438,0.11224594,0.159680284,0.115458937,0.23968254,0.247619048,0.162800232
0.119454896,0.115113198,0.110031523,0.102841918,0.107729469,0.196507937,0.145238095,0.120136542
0.125438194,0.118121703,0.120987512,0.102841918,0.111594203,0.11015873,0.1,0.126851123
0.115050014,0.112538805,0.109504793,0.1,0.1,0.1,0.1,0.112737902
0.101982197,0.104906489,0.101513543,0.102841918,0.111594203,0.102539683,0.123809524,0.103974744
0.117362577,0.116254007,0.110433558,0.153996448,0.1,0.234603175,0.116666667,0.124726939
0.110167936,0.109843265,0.111001137,0.1,0.1,0.12031746,0.126190476,0.121774684
0.687097366,0.710019939,0.491044511,0.202309059,0.119323671,0.323492063,0.35,0.570571504
0.13575296,0.126591959,0.117399296,0.1,0.1,0.1,0.1,0.135311854
0.166587134,0.197140405,0.142847891,0.1,0.1,0.102539683,0.114285714,0.183880056
0.131715151,0.114073345,0.120731671,0.1,0.1,0.133015873,0.1,0.129497352
0.171726163,0.16268393,0.154005971,0.156838366,0.212077295,0.193968254,0.123809524,0.183808049
